penalty,dual,tol,C,fit_intercept,intercept_scaling,class_weight,solver,max_iter,multi_class,verbose,warm_start,l1_ratio,accuracy
"['l2', 'l1']",[False],"[0.0001, 1e-05, 1e-06, 0.001, 0.01]","[1.0, 0.1, 0.5, 2.0, 5.0, 10.0]",[True],"[1.0, 0.1, 0.2, 0.5, 10.0]",[None],['liblinear'],"[100, 1000, 10000]",['ovr'],[0],"[False, True]","[0.1, 0.5, 0.01, 2.0]",prediction
l2,False,0.01,1.0,True,10.0,,liblinear,100,ovr,0,True,0.1,0.808988764044943
l2,False,0.01,1.0,True,10.0,,liblinear,10000,ovr,0,False,0.01,0.808988764044943
l2,False,0.01,10.0,True,0.5,,liblinear,1000,ovr,0,False,0.1,0.808988764044943
l2,False,0.01,1.0,True,10.0,,liblinear,10000,ovr,0,True,0.1,0.808988764044943
l2,False,0.01,10.0,True,10.0,,liblinear,10000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,1000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,10000,ovr,0,True,2.0,0.8075842696629211
l2,False,0.001,0.5,True,1.0,,liblinear,1000,ovr,0,False,0.5,0.8075842696629211
l2,False,0.01,5.0,True,10.0,,liblinear,10000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.001,0.5,True,1.0,,liblinear,10000,ovr,0,False,0.1,0.8075842696629211
l2,False,0.01,5.0,True,10.0,,liblinear,1000,ovr,0,False,0.5,0.8075842696629211
l2,False,0.001,0.5,True,1.0,,liblinear,1000,ovr,0,True,0.1,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,100,ovr,0,False,0.1,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,10000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,1000,ovr,0,False,0.1,0.8075842696629211
l2,False,0.01,5.0,True,10.0,,liblinear,10000,ovr,0,False,0.5,0.8075842696629211
l2,False,0.001,0.5,True,10.0,,liblinear,10000,ovr,0,False,0.01,0.8075842696629211
l2,False,0.01,5.0,True,10.0,,liblinear,1000,ovr,0,False,2.0,0.8075842696629211
l2,False,0.001,0.5,True,1.0,,liblinear,1000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.001,0.5,True,1.0,,liblinear,1000,ovr,0,False,2.0,0.8075842696629211
l2,False,0.01,10.0,True,10.0,,liblinear,10000,ovr,0,True,2.0,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,10000,ovr,0,True,0.01,0.8075842696629211
l2,False,0.01,0.5,True,0.5,,liblinear,100,ovr,0,True,2.0,0.8075842696629211
l2,False,0.001,0.5,True,0.1,,liblinear,1000,ovr,0,True,0.5,0.8075842696629211
l2,False,0.001,1.0,True,0.2,,liblinear,1000,ovr,0,False,0.5,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,1000,ovr,0,False,0.5,0.806179775280898
l2,False,0.0001,0.5,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,10000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,True,0.1,0.806179775280898
l2,False,1e-06,0.5,True,0.2,,liblinear,100,ovr,0,False,2.0,0.806179775280898
l2,False,1e-06,0.5,True,0.5,,liblinear,100,ovr,0,False,0.1,0.806179775280898
l2,False,0.0001,0.5,True,0.1,,liblinear,10000,ovr,0,True,0.01,0.806179775280898
l2,False,1e-06,0.5,True,1.0,,liblinear,1000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.1,,liblinear,100,ovr,0,True,0.01,0.806179775280898
l2,False,1e-05,0.5,True,0.1,,liblinear,1000,ovr,0,False,0.01,0.806179775280898
l2,False,0.0001,0.5,True,0.5,,liblinear,1000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,False,2.0,0.806179775280898
l2,False,1e-06,0.5,True,0.2,,liblinear,100,ovr,0,False,0.01,0.806179775280898
l2,False,0.0001,0.5,True,0.1,,liblinear,10000,ovr,0,False,2.0,0.806179775280898
l2,False,1e-06,0.5,True,1.0,,liblinear,1000,ovr,0,True,0.5,0.806179775280898
l2,False,0.0001,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.5,0.806179775280898
l2,False,0.0001,0.5,True,0.5,,liblinear,10000,ovr,0,False,0.5,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,1000,ovr,0,False,0.01,0.806179775280898
l2,False,1e-05,0.5,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,1.0,,liblinear,100,ovr,0,True,2.0,0.806179775280898
l2,False,0.01,2.0,True,10.0,,liblinear,1000,ovr,0,True,0.01,0.806179775280898
l2,False,1e-06,0.5,True,0.1,,liblinear,100,ovr,0,True,0.01,0.806179775280898
l2,False,1e-06,0.5,True,0.1,,liblinear,1000,ovr,0,False,0.5,0.806179775280898
l2,False,0.001,0.5,True,0.2,,liblinear,10000,ovr,0,False,0.5,0.806179775280898
l2,False,0.0001,0.5,True,0.2,,liblinear,10000,ovr,0,True,2.0,0.806179775280898
l2,False,0.001,1.0,True,0.2,,liblinear,1000,ovr,0,False,2.0,0.806179775280898
l2,False,1e-05,0.5,True,0.1,,liblinear,10000,ovr,0,True,0.5,0.806179775280898
l2,False,0.001,0.5,True,0.5,,liblinear,10000,ovr,0,True,2.0,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,100,ovr,0,True,2.0,0.806179775280898
l2,False,1e-06,0.5,True,0.2,,liblinear,100,ovr,0,False,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,10000,ovr,0,True,0.01,0.806179775280898
l2,False,1e-05,0.5,True,0.1,,liblinear,100,ovr,0,True,0.1,0.806179775280898
l2,False,1e-06,0.5,True,1.0,,liblinear,100,ovr,0,True,0.1,0.806179775280898
l2,False,0.001,0.5,True,0.2,,liblinear,1000,ovr,0,False,2.0,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,False,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,10000,ovr,0,True,0.01,0.806179775280898
l2,False,1e-06,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.01,0.806179775280898
l2,False,0.001,0.5,True,0.5,,liblinear,1000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.2,,liblinear,10000,ovr,0,True,2.0,0.806179775280898
l2,False,0.0001,0.5,True,0.2,,liblinear,100,ovr,0,True,0.01,0.806179775280898
l2,False,0.0001,0.5,True,0.5,,liblinear,10000,ovr,0,False,2.0,0.806179775280898
l2,False,0.0001,0.5,True,0.1,,liblinear,1000,ovr,0,False,2.0,0.806179775280898
l2,False,0.001,0.5,True,0.2,,liblinear,100,ovr,0,True,2.0,0.806179775280898
l2,False,1e-06,0.5,True,0.5,,liblinear,10000,ovr,0,False,2.0,0.806179775280898
l2,False,0.001,0.5,True,0.5,,liblinear,1000,ovr,0,True,2.0,0.806179775280898
l2,False,0.0001,0.5,True,0.1,,liblinear,10000,ovr,0,False,0.5,0.806179775280898
l2,False,0.001,1.0,True,0.2,,liblinear,100,ovr,0,True,0.5,0.806179775280898
l2,False,0.0001,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.01,0.806179775280898
l2,False,0.001,0.5,True,0.5,,liblinear,10000,ovr,0,False,0.01,0.806179775280898
l2,False,0.001,0.5,True,0.5,,liblinear,100,ovr,0,True,2.0,0.806179775280898
l2,False,1e-06,0.5,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.806179775280898
l2,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,True,2.0,0.806179775280898
l2,False,0.001,0.5,True,0.2,,liblinear,1000,ovr,0,False,0.1,0.806179775280898
l2,False,1e-05,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.5,0.806179775280898
l2,False,1e-05,0.5,True,1.0,,liblinear,1000,ovr,0,True,2.0,0.806179775280898
l2,False,0.0001,0.5,True,0.2,,liblinear,1000,ovr,0,False,0.1,0.806179775280898
l2,False,0.0001,0.5,True,10.0,,liblinear,10000,ovr,0,True,2.0,0.8047752808988761
l2,False,1e-06,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.01,0.8047752808988761
l1,False,0.01,0.5,True,0.2,,liblinear,10000,ovr,0,True,2.0,0.8047752808988761
l1,False,0.01,10.0,True,0.5,,liblinear,10000,ovr,0,False,0.01,0.8047752808988761
l1,False,0.01,0.5,True,0.2,,liblinear,10000,ovr,0,True,0.5,0.8047752808988761
l1,False,0.01,10.0,True,0.5,,liblinear,100,ovr,0,False,0.5,0.8047752808988761
l1,False,0.01,10.0,True,10.0,,liblinear,1000,ovr,0,False,0.1,0.8047752808988761
l2,False,0.0001,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.5,0.8047752808988761
l2,False,1e-06,0.5,True,10.0,,liblinear,100,ovr,0,True,0.5,0.8047752808988761
l2,False,1e-05,0.5,True,10.0,,liblinear,1000,ovr,0,True,0.01,0.8047752808988761
l2,False,0.0001,0.5,True,10.0,,liblinear,100,ovr,0,True,0.1,0.8047752808988761
l1,False,0.01,10.0,True,1.0,,liblinear,1000,ovr,0,True,2.0,0.8047752808988761
l2,False,1e-05,0.5,True,10.0,,liblinear,1000,ovr,0,False,0.1,0.8047752808988761
l2,False,1e-06,0.5,True,10.0,,liblinear,100,ovr,0,False,0.01,0.8047752808988761
l1,False,0.01,0.5,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.8047752808988761
l1,False,0.01,10.0,True,0.5,,liblinear,10000,ovr,0,False,0.1,0.8047752808988761
l1,False,0.01,10.0,True,0.5,,liblinear,1000,ovr,0,False,0.01,0.8047752808988761
l2,False,1e-05,0.5,True,10.0,,liblinear,100,ovr,0,False,0.01,0.8047752808988761
l1,False,0.01,0.5,True,10.0,,liblinear,10000,ovr,0,True,2.0,0.803370786516853
l2,False,0.0001,1.0,True,0.5,,liblinear,100,ovr,0,False,2.0,0.803370786516853
l1,False,0.01,5.0,True,0.1,,liblinear,1000,ovr,0,False,0.01,0.803370786516853
l2,False,1e-06,1.0,True,0.1,,liblinear,1000,ovr,0,False,0.1,0.803370786516853
l1,False,0.01,0.5,True,10.0,,liblinear,100,ovr,0,False,0.1,0.803370786516853
l2,False,1e-06,1.0,True,1.0,,liblinear,100,ovr,0,False,0.01,0.803370786516853
l2,False,0.0001,1.0,True,1.0,,liblinear,100,ovr,0,False,0.1,0.803370786516853
l2,False,0.0001,1.0,True,0.2,,liblinear,1000,ovr,0,False,0.1,0.803370786516853
l2,False,1e-06,1.0,True,0.5,,liblinear,100,ovr,0,True,0.5,0.803370786516853
l2,False,1e-06,1.0,True,0.5,,liblinear,1000,ovr,0,False,2.0,0.803370786516853
l2,False,0.0001,1.0,True,0.5,,liblinear,10000,ovr,0,False,2.0,0.803370786516853
l2,False,0.0001,1.0,True,1.0,,liblinear,10000,ovr,0,True,0.01,0.803370786516853
l2,False,1e-05,1.0,True,0.2,,liblinear,100,ovr,0,False,0.01,0.803370786516853
l1,False,0.01,5.0,True,0.1,,liblinear,1000,ovr,0,False,0.5,0.803370786516853
l2,False,0.001,1.0,True,0.1,,liblinear,10000,ovr,0,False,0.1,0.803370786516853
l1,False,0.01,5.0,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.803370786516853
l2,False,0.001,2.0,True,0.1,,liblinear,1000,ovr,0,True,0.5,0.803370786516853
l2,False,0.0001,1.0,True,0.5,,liblinear,1000,ovr,0,False,0.01,0.803370786516853
l2,False,1e-05,1.0,True,0.5,,liblinear,10000,ovr,0,False,0.01,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,10000,ovr,0,False,0.01,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,1000,ovr,0,False,0.5,0.803370786516853
l1,False,0.01,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.5,0.803370786516853
l2,False,1e-06,1.0,True,0.1,,liblinear,1000,ovr,0,True,2.0,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,1000,ovr,0,False,0.01,0.803370786516853
l2,False,0.0001,1.0,True,0.2,,liblinear,10000,ovr,0,True,0.5,0.803370786516853
l2,False,0.001,2.0,True,0.1,,liblinear,100,ovr,0,False,0.01,0.803370786516853
l2,False,1e-06,1.0,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,10000,ovr,0,False,0.1,0.803370786516853
l2,False,0.0001,1.0,True,0.5,,liblinear,1000,ovr,0,False,0.5,0.803370786516853
l2,False,1e-06,1.0,True,1.0,,liblinear,1000,ovr,0,True,0.01,0.803370786516853
l2,False,1e-05,1.0,True,0.1,,liblinear,10000,ovr,0,False,0.01,0.803370786516853
l2,False,1e-06,1.0,True,0.2,,liblinear,1000,ovr,0,False,0.5,0.803370786516853
l1,False,0.001,0.5,True,10.0,,liblinear,1000,ovr,0,False,2.0,0.803370786516853
l2,False,1e-05,1.0,True,0.1,,liblinear,100,ovr,0,True,0.01,0.803370786516853
l2,False,0.001,2.0,True,0.2,,liblinear,1000,ovr,0,False,2.0,0.803370786516853
l1,False,0.001,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.5,0.803370786516853
l2,False,1e-05,1.0,True,1.0,,liblinear,100,ovr,0,True,0.1,0.803370786516853
l2,False,1e-06,1.0,True,0.1,,liblinear,100,ovr,0,False,0.1,0.803370786516853
l2,False,1e-05,1.0,True,0.2,,liblinear,10000,ovr,0,False,0.1,0.803370786516853
l2,False,0.001,2.0,True,0.1,,liblinear,10000,ovr,0,True,2.0,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,100,ovr,0,True,2.0,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,100,ovr,0,True,0.01,0.803370786516853
l2,False,1e-06,1.0,True,0.5,,liblinear,100,ovr,0,False,2.0,0.803370786516853
l1,False,0.01,5.0,True,1.0,,liblinear,1000,ovr,0,True,0.5,0.803370786516853
l2,False,0.001,1.0,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.803370786516853
l1,False,0.001,0.5,True,10.0,,liblinear,1000,ovr,0,False,0.01,0.803370786516853
l2,False,0.0001,1.0,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.803370786516853
l2,False,0.0001,1.0,True,0.5,,liblinear,10000,ovr,0,True,0.01,0.803370786516853
l2,False,0.0001,1.0,True,0.1,,liblinear,100,ovr,0,True,2.0,0.803370786516853
l2,False,1e-05,1.0,True,0.1,,liblinear,10000,ovr,0,False,0.1,0.803370786516853
l2,False,0.0001,1.0,True,1.0,,liblinear,100,ovr,0,True,0.5,0.803370786516853
l2,False,0.0001,1.0,True,0.2,,liblinear,100,ovr,0,False,0.1,0.803370786516853
l2,False,0.001,2.0,True,0.1,,liblinear,100,ovr,0,False,0.5,0.803370786516853
l2,False,0.0001,1.0,True,1.0,,liblinear,100,ovr,0,True,0.01,0.803370786516853
l2,False,0.0001,1.0,True,1.0,,liblinear,1000,ovr,0,True,0.01,0.803370786516853
l2,False,1e-06,1.0,True,0.5,,liblinear,1000,ovr,0,False,0.5,0.803370786516853
l2,False,1e-06,1.0,True,0.2,,liblinear,100,ovr,0,True,0.01,0.803370786516853
l2,False,0.001,2.0,True,0.2,,liblinear,1000,ovr,0,True,2.0,0.803370786516853
l1,False,0.01,5.0,True,0.1,,liblinear,1000,ovr,0,True,0.1,0.803370786516853
l2,False,1e-05,1.0,True,1.0,,liblinear,1000,ovr,0,False,2.0,0.803370786516853
l2,False,0.001,1.0,True,0.1,,liblinear,10000,ovr,0,False,0.5,0.803370786516853
l1,False,0.01,5.0,True,10.0,,liblinear,1000,ovr,0,True,0.5,0.803370786516853
l2,False,1e-05,1.0,True,0.5,,liblinear,100,ovr,0,False,0.5,0.803370786516853
l2,False,0.001,2.0,True,0.1,,liblinear,1000,ovr,0,False,0.1,0.803370786516853
l1,False,0.01,2.0,True,0.1,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,0.01,2.0,True,1.0,,liblinear,10000,ovr,0,True,0.5,0.8019662921348311
l1,False,1e-05,0.5,True,0.2,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,0.001,0.5,True,1.0,,liblinear,10000,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-06,0.5,True,10.0,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,0.1,,liblinear,1000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.01,2.0,True,0.1,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-05,0.5,True,0.2,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.01,0.8019662921348311
l2,False,0.01,5.0,True,1.0,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,1000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,1.0,,liblinear,1000,ovr,0,False,0.01,0.8019662921348311
l2,False,0.001,2.0,True,10.0,,liblinear,100,ovr,0,True,0.01,0.8019662921348311
l2,False,0.01,1.0,True,0.5,,liblinear,10000,ovr,0,False,0.1,0.8019662921348311
l1,False,0.01,10.0,True,0.1,,liblinear,1000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,0.5,True,10.0,,liblinear,1000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,100,ovr,0,True,0.5,0.8019662921348311
l1,False,1e-05,0.5,True,0.2,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,0.001,0.5,True,0.5,,liblinear,100,ovr,0,True,0.1,0.8019662921348311
l1,False,1e-05,2.0,True,0.2,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-05,0.5,True,10.0,,liblinear,10000,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-06,2.0,True,0.1,,liblinear,1000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.01,2.0,True,0.1,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,1e-06,0.5,True,0.2,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-05,0.5,True,1.0,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,0.01,10.0,True,0.2,,liblinear,100,ovr,0,True,0.5,0.8019662921348311
l1,False,1e-05,0.5,True,10.0,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,0.2,,liblinear,100,ovr,0,True,0.01,0.8019662921348311
l1,False,1e-05,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,1e-05,2.0,True,0.5,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,0.001,0.5,True,1.0,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,10.0,,liblinear,1000,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-06,5.0,True,10.0,,liblinear,1000,ovr,0,False,0.01,0.8019662921348311
l1,False,1e-06,0.5,True,1.0,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,0.01,2.0,True,0.5,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,0.1,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-06,2.0,True,1.0,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-05,2.0,True,0.2,,liblinear,100,ovr,0,True,0.1,0.8019662921348311
l1,False,1e-05,2.0,True,1.0,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,100,ovr,0,False,0.5,0.8019662921348311
l1,False,0.0001,2.0,True,1.0,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.01,2.0,True,0.5,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,0.01,2.0,True,0.5,,liblinear,10000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.01,0.5,True,1.0,,liblinear,100,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,0.5,True,10.0,,liblinear,1000,ovr,0,False,0.01,0.8019662921348311
l1,False,0.01,2.0,True,0.2,,liblinear,100,ovr,0,True,0.1,0.8019662921348311
l1,False,0.01,10.0,True,0.1,,liblinear,10000,ovr,0,True,0.5,0.8019662921348311
l1,False,1e-06,0.5,True,1.0,,liblinear,10000,ovr,0,False,0.5,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,1000,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-06,0.5,True,0.1,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,1e-05,2.0,True,0.2,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.01,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.0001,0.5,True,0.2,,liblinear,10000,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-06,0.5,True,10.0,,liblinear,1000,ovr,0,False,0.5,0.8019662921348311
l1,False,0.0001,0.5,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,2.0,True,1.0,,liblinear,100,ovr,0,True,0.5,0.8019662921348311
l1,False,0.01,0.5,True,1.0,,liblinear,100,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-05,0.5,True,0.5,,liblinear,1000,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-06,5.0,True,10.0,,liblinear,10000,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-05,0.5,True,0.2,,liblinear,100,ovr,0,False,0.5,0.8019662921348311
l1,False,1e-05,2.0,True,0.5,,liblinear,1000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.001,0.5,True,0.2,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-05,2.0,True,0.5,,liblinear,10000,ovr,0,False,0.5,0.8019662921348311
l1,False,0.01,10.0,True,0.2,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-05,0.5,True,0.2,,liblinear,1000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.01,10.0,True,0.2,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-06,5.0,True,10.0,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,0.01,1.0,True,10.0,,liblinear,100,ovr,0,True,0.01,0.8019662921348311
l1,False,0.0001,0.5,True,0.5,,liblinear,1000,ovr,0,True,0.5,0.8019662921348311
l1,False,0.01,0.5,True,1.0,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,0.0001,0.5,True,0.1,,liblinear,100,ovr,0,False,0.5,0.8019662921348311
l1,False,0.0001,0.5,True,0.5,,liblinear,1000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.0001,2.0,True,0.5,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,0.1,,liblinear,100,ovr,0,True,0.01,0.8019662921348311
l1,False,1e-05,0.5,True,10.0,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,0.1,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,1e-06,0.5,True,0.1,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,0.01,10.0,True,0.1,,liblinear,1000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.001,0.5,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,0.1,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,0.0001,0.5,True,0.2,,liblinear,10000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,1000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,10000,ovr,0,False,0.01,0.8019662921348311
l1,False,0.01,10.0,True,0.2,,liblinear,1000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,1.0,,liblinear,10000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.01,2.0,True,0.1,,liblinear,1000,ovr,0,False,0.5,0.8019662921348311
l1,False,0.01,2.0,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,0.5,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,0.01,2.0,True,1.0,,liblinear,1000,ovr,0,True,0.01,0.8019662921348311
l1,False,0.0001,0.5,True,1.0,,liblinear,10000,ovr,0,True,0.5,0.8019662921348311
l1,False,0.001,0.5,True,0.2,,liblinear,100,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-06,0.5,True,10.0,,liblinear,100,ovr,0,False,0.5,0.8019662921348311
l2,False,0.01,1.0,True,0.5,,liblinear,1000,ovr,0,False,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,0.1,,liblinear,1000,ovr,0,False,0.01,0.8019662921348311
l1,False,1e-05,2.0,True,0.1,,liblinear,10000,ovr,0,True,0.5,0.8019662921348311
l2,False,0.01,2.0,True,0.5,,liblinear,100,ovr,0,True,0.5,0.8019662921348311
l1,False,0.0001,2.0,True,0.1,,liblinear,100,ovr,0,True,0.1,0.8019662921348311
l2,False,0.001,1.0,True,1.0,,liblinear,10000,ovr,0,False,0.1,0.8019662921348311
l2,False,0.01,1.0,True,0.5,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-05,2.0,True,1.0,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,2.0,True,0.5,,liblinear,10000,ovr,0,True,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,1.0,,liblinear,10000,ovr,0,False,0.01,0.8019662921348311
l1,False,1e-05,0.5,True,0.1,,liblinear,100,ovr,0,True,0.5,0.8019662921348311
l1,False,1e-05,0.5,True,0.5,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l2,False,0.01,2.0,True,0.5,,liblinear,1000,ovr,0,False,0.01,0.8019662921348311
l1,False,0.01,2.0,True,1.0,,liblinear,10000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,1.0,,liblinear,10000,ovr,0,True,0.01,0.8019662921348311
l1,False,1e-06,2.0,True,0.5,,liblinear,1000,ovr,0,False,2.0,0.8019662921348311
l1,False,1e-06,2.0,True,0.1,,liblinear,10000,ovr,0,True,0.1,0.8019662921348311
l1,False,0.0001,0.5,True,10.0,,liblinear,100,ovr,0,False,0.01,0.8019662921348311
l1,False,0.001,0.5,True,0.2,,liblinear,10000,ovr,0,True,2.0,0.8019662921348311
l1,False,0.01,2.0,True,1.0,,liblinear,100,ovr,0,True,0.01,0.8019662921348311
